votes,user_link,tier,notebook_name,num_visualizations,num_datafiles,time_published,relative_time_published,tags,language,num_comments,notebook_link
167,https://kaggle.com/tarunkr,novice,"COVID-19 Case Study - Analysis, Viz & Comparisons",53,0,Mon Mar 30 2020 16:05:26 GMT-0400 (Eastern Daylight Time),3h ago,"['epidemiology', 'health', 'data visualization', 'starter code', 'covid19']",Python,68,https://kaggle.com/tarunkr/covid-19-case-study-analysis-viz-comparisons
288,https://kaggle.com/dgunning,novice,Browsing research papers with a BM25 search engine,0,0,Mon Mar 30 2020 18:18:02 GMT-0400 (Eastern Daylight Time),1h ago,"['beginner', 'eda', 'starter code']",Python,33,https://kaggle.com/dgunning/browsing-research-papers-with-a-bm25-search-engine
107,https://kaggle.com/mobassir,master,😷Mining COVID-19 scientific papers🦠,7,5,Mon Mar 30 2020 10:58:23 GMT-0400 (Eastern Daylight Time),8h ago,[],Python,25,https://kaggle.com/mobassir/mining-covid-19-scientific-papers
25,https://kaggle.com/dirktheeng,novice,Anserini+BERT-SQuAD for context corpus search,0,0,Mon Mar 30 2020 17:00:31 GMT-0400 (Eastern Daylight Time),2h ago,[],Python,17,https://kaggle.com/dirktheeng/anserini-bert-squad-for-context-corpus-search
16,https://kaggle.com/duttadebadri,expert,COVID-19 Analysing Growth Factor & Inflection  ,2,0,Mon Mar 30 2020 16:40:10 GMT-0400 (Eastern Daylight Time),2h ago,[],Python,6,https://kaggle.com/duttadebadri/covid-19-analysing-growth-factor-inflection
1,https://kaggle.com/mlconsult,contributor,"transmission, incubation and environment 2.0",0,0,Mon Mar 30 2020 18:05:19 GMT-0400 (Eastern Daylight Time),1h ago,[],Python,0,https://kaggle.com/mlconsult/transmission-incubation-and-environment-2-0
6,https://kaggle.com/phyothuhtet,novice,"Document clustering (kmeans, som)",8,0,Mon Mar 30 2020 06:35:53 GMT-0400 (Eastern Daylight Time),12h ago,"['nlp', 'classification', 'clustering']",Python,0,https://kaggle.com/phyothuhtet/document-clustering-kmeans-som
76,https://kaggle.com/davidmezzetti,contributor,CORD-19 Analysis with Sentence Embeddings,4,13,Mon Mar 30 2020 18:00:45 GMT-0400 (Eastern Daylight Time),1h ago,"['eda', 'nlp', 'covid19']",Python,42,https://kaggle.com/davidmezzetti/cord-19-analysis-with-sentence-embeddings
16,https://kaggle.com/gatunnopvp,expert,Covid-19 in Brazil: Predicting Cases and Deaths,5,0,Mon Mar 30 2020 15:02:03 GMT-0400 (Eastern Daylight Time),4h ago,[],Python,3,https://kaggle.com/gatunnopvp/covid-19-in-brazil-predicting-cases-and-deaths
17,https://kaggle.com/yuanso,contributor,COVID-19 Four different epidemic situations,0,0,Mon Mar 30 2020 12:10:39 GMT-0400 (Eastern Daylight Time),7h ago,"['nlp', 'data visualization', 'classification', 'starter code']",Python,7,https://kaggle.com/yuanso/covid-19-four-different-epidemic-situations
1,https://kaggle.com/marcusgawronsky,contributor,CORD-19: Simple Scikit- Topic Models + Doc2Vec,0,0,Mon Mar 30 2020 14:56:48 GMT-0400 (Eastern Daylight Time),4h ago,[],Python,0,https://kaggle.com/marcusgawronsky/cord-19-simple-scikit-topic-models-doc2vec
2,https://kaggle.com/dannellyz,contributor,CORD19-Metadata Enrich: Microsoft Academic API,0,1,Mon Mar 30 2020 08:35:19 GMT-0400 (Eastern Daylight Time),10h ago,[],Python,0,https://kaggle.com/dannellyz/cord19-metadata-enrich-microsoft-academic-api
12,https://kaggle.com/corochann,master,COVID-19: EDA with recent update on March,1,0,Mon Mar 30 2020 18:36:27 GMT-0400 (Eastern Daylight Time),27m ago,"['eda', 'geospatial analysis', 'data visualization', 'time series analysis', 'survey analysis']",Python,6,https://kaggle.com/corochann/covid-19-eda-with-recent-update-on-march
