name,views,char_length,packages
"COVID-19 Case Study - Analysis, Viz & Comparisons","12,203",5964,"['pandas', 'numpy', 'matplotlib.pyplot', 'matplotlib.ticker', 'pycountry_convert', 'folium', 'branca', 'datetime.datetime', 'datetime.timedelta', 'datetime.date', 'scipy.interpolate.make_interp_spline', 'scipy.interpolate.BSpline', 'plotly.express', 'json', 'requests', 'keras.layers.Input', 'keras.layers.Dense', 'keras.layers.Activation', 'keras.layers.LeakyReLU', 'keras.models', 'keras.optimizers.RMSprop', 'keras.optimizers.Adam']"
Browsing research papers with a BM25 search engine,"17,604",3068,"['ipywidgets.Image', 'cord.ResearchPapers', 'multiprocessing', 'concurrent.futures.ThreadPoolExecutor', 'concurrent.futures.as_completed', 'typing.Collection', 'typing.Any', 'functools.partial']"
😷Mining COVID-19 scientific papers🦠,"5,515",7784,"['IPython.display.HTML', 'numpy', 'pandas', 'spacy', 're', 'pprint.pprint', 'gensim', 'gensim.corpora', 'gensim.utils.simple_preprocess', 'gensim.models.CoherenceModel', 'nltk.stem.WordNetLemmatizer', 'pyLDAvis', 'pyLDAvis.gensim', 'matplotlib.pyplot', 'seaborn', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.pipeline.Pipeline', 'sklearn.metrics.confusion_matrix', 'sklearn.metrics.accuracy_score', 'sklearn.metrics.f1_score', 'sklearn.metrics.classification_report', 'sklearn.model_selection.train_test_split', 'sklearn.naive_bayes.GaussianNB', 'sklearn.naive_bayes.BernoulliNB', 'sklearn.naive_bayes.MultinomialNB', 'sklearn.model_selection.GridSearchCV', 'logging', 'warnings', 'os', 'tensorflow', 'bert', 'bert.run_classifier', 'bert.optimization', 'bert.tokenization', 'bert.modeling', 'itertools', 'nltk.corpus.stopwords', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'tqdm.tqdm_notebook', 'tensorflow_hub', 'sklearn.metrics.pairwise.cosine_similarity', 'PIL.Image', 'wordcloud.ImageColorGenerator', 'matplotlib.pyplotasplt', 'matplotlib.colors', 'matplotlib.patches.Rectangle', 'matplotlib.ticker.FuncFormatter', 'bokeh.models.HoverTool', 'sklearn.manifold.TSNE', 'bokeh.plotting.figure', 'bokeh.plotting.output_file', 'bokeh.plotting.show', 'bokeh.models.Label', 'bokeh.io.output_notebook', 'sklearn.decomposition.LatentDirichletAllocation', 'sklearn.decomposition.TruncatedSVD', 'sklearn.feature_extraction.text.HashingVectorizer', 'sklearn.cluster.KMeans', 'gensim.summarization.summarizer.summarize', 'nltk', 'nltk.tokenize.sent_tokenize', 'torch', 'networkx', 'tqdm.tqdm']"
Anserini+BERT-SQuAD for context corpus search,"1,414",8493,"['os', 'pyserini.search.pysearch', 'IPython.core.display.display', 'IPython.core.display.HTML', 'json', 'torch', 'transformers.BertForQuestionAnswering', 'transformers.BertTokenizer', 'numpy', 'tqdm.tqdm', 'pandas', 'Bio.Entrez', 'Bio.Medline', 're']"
COVID-19 Analysing Growth Factor & Inflection  ,"2,347",4069,"['numpy', 'pandas', 'matplotlib.pyplot', 'plotly.express', 'plotly.offline', 'plotly.graph_objs', 'folium', 'seaborn', 'warnings', 'os', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'IPython.display.YouTubeVideo']"
"transmission, incubation and environment 2.0",152,2942,"['numpy', 'pandas', 'functools', 'IPython.core.display.display', 'IPython.core.display.HTML', 'nltk.PorterStemmer']"
"Document clustering (kmeans, som)",591,10211,"['numpy', 'pandas', 'os', 'matplotlib.pyplot', 're', 'gensim', 'gensim.models.Doc2Vec', 'time', 'sklearn.cluster.KMeans', 'sklearn.metrics.silhouette_score', 'sklearn.decomposition.PCA', 'mpl_toolkits.mplot3d.Axes3D', 'somoclu', 'tensorflow', 'tensorflow.keras', 'tensorflow.keras.preprocessing.text.Tokenizer', 'tensorflow.keras.preprocessing.sequence.pad_sequences']"
CORD-19 Analysis with Sentence Embeddings,"6,745",7544,"['cord19q.etl.Etl', 'cord19q.index.Index', 'cord19q.highlights.Highlights', 'cord19q.tokenizer.Tokenizer', 'wordcloud.WordCloud', 'matplotlib.pyplot', 'numpy', 'plotly.graph_objects', 'pycountry', 'pandas', 'sqlite3', 'cord19q.embeddings.Embeddings', 'cord19q.query.Query', 'cord19q.report.Report', 'IPython.display.display', 'IPython.display.Markdown']"
Covid-19 in Brazil: Predicting Cases and Deaths,991,2378,"['pandas', 'numpy', 'matplotlib.pyplot', 'seaborn', 'folium', 'folium.plugins', 'sklearn.linear_model.LinearRegression', 'sklearn.model_selection.train_test_split', 'sklearn.preprocessing.PolynomialFeatures', 'sklearn.metrics.mean_squared_error', 'sklearn.metrics.mean_absolute_error', 'datetime', 'plotly.express', 'plotly.graph_objects', 'plotly.subplots.make_subplots', 'plotly.graph_objs.*', 'sklearn.metrics', 'opencage.geocoder.OpenCageGeocode', 'warnings']"
COVID-19 Four different epidemic situations,"1,408",3478,[]
